0;0.201760
100;0.557690
200;1.149760
300;2.070982
400;3.378873
500;4.692336
600;6.768991
700;8.442031
800;9.906066
900;12.214687
1000;13.662134
1100;16.260757
1200;17.477276
1300;19.988937
1400;21.470783
1500;23.756470
1600;25.917688
1700;28.039330
1800;30.218300
1900;32.239117
2000;34.307011
2100;36.647549
2200;38.240082
2300;41.266441
2400;42.813370
2500;44.748333
2600;47.091061
2700;49.355728
2800;51.276924
2900;54.019093
3000;56.958149
3100;58.590027
3200;61.216175
3300;63.184654
3400;66.046471
3500;67.938362
3600;71.047951
3700;73.158165
3800;74.837151
3900;77.938042
4000;79.828667
4095;83.354256
